Price,Close
Ticker,EURUSD=X
Date,
2023-03-08,1.05507493019104
2023-03-09,1.0549525022506714
2023-03-10,1.0584698915481567
2023-03-13,1.0683646202087402
2023-03-14,1.0725010633468628
2023-03-15,1.0727657079696655
2023-03-16,1.0583354234695435
2023-03-17,1.0614134073257446
2023-03-20,1.0678855180740356
2023-03-21,1.071914792060852
2023-03-22,1.0774236917495728
2023-03-23,1.0870392322540283
2023-03-24,1.0835057497024536
2023-03-27,1.077818512916565
2023-03-28,1.0807071924209595
2023-03-29,1.0839520692825317
2023-03-30,1.0843634605407715
2023-03-31,1.0904649496078491
2023-04-03,1.0803335905075073
2023-04-04,1.091226577758789
2023-04-05,1.0960105657577515
2023-04-06,1.090334177017212
2023-04-07,1.0920130014419556
2023-04-10,1.0913575887680054
2023-04-11,1.086932897567749
2023-04-12,1.0917507410049438
2023-04-13,1.0999890565872192
2023-04-14,1.1054610013961792
2023-04-17,1.098659634590149
2023-04-18,1.0925379991531372
2023-04-19,1.0975382328033447
2023-04-20,1.095218300819397
2023-04-21,1.0970927476882935
2023-04-24,1.0992271900177002
2023-04-25,1.1059499979019165
2023-04-26,1.0978394746780396
2023-04-27,1.1047282218933105
2023-04-28,1.1032048463821411
2023-05-01,1.1010911464691162
2023-05-02,1.0969241857528687
2023-05-03,1.1010911464691162
2023-05-04,1.1068925857543945
2023-05-05,1.102292776107788
2023-05-08,1.10186767578125
2023-05-09,1.0996140241622925
2023-05-10,1.096467137336731
2023-05-11,1.098406195640564
2023-05-12,1.0912145376205444
2023-05-15,1.0852696895599365
2023-05-16,1.0873701572418213
2023-05-17,1.0865668058395386
2023-05-18,1.0838346481323242
2023-05-19,1.0775396823883057
2023-05-22,1.0822745561599731
2023-05-23,1.0811045169830322
2023-05-24,1.076971173286438
2023-05-25,1.0757315158843994
2023-05-26,1.0724436044692993
2023-05-29,1.0723055601119995
2023-05-30,1.0707669258117676
2023-05-31,1.073306918144226
2023-06-01,1.0695186853408813
2023-06-02,1.0760787725448608
2023-06-05,1.0698620080947876
2023-06-06,1.0711798667907715
2023-06-07,1.0698047876358032
2023-06-08,1.0707440376281738
2023-06-09,1.078271746635437
2023-06-12,1.0750954151153564
2023-06-13,1.0762988328933716
2023-06-14,1.078934907913208
2023-06-15,1.084304690361023
2023-06-16,1.0945948362350464
2023-06-19,1.0942115783691406
2023-06-20,1.0924304723739624
2023-06-21,1.0920368432998657
2023-06-22,1.0992635488510132
2023-06-23,1.0958904027938843
2023-06-26,1.0906671285629272
2023-06-27,1.091048002243042
2023-06-28,1.0957223176956177
2023-06-29,1.0915838479995728
2023-06-30,1.0868029594421387
2023-07-03,1.0907504558563232
2023-07-04,1.091309905052185
2023-07-05,1.0884946584701538
2023-07-06,1.0856584310531616
2023-07-07,1.0890636444091797
2023-07-10,1.0969723463058472
2023-07-11,1.100594401359558
2023-07-12,1.101406455039978
2023-07-13,1.1144545078277588
2023-07-14,1.1223469972610474
2023-07-17,1.1227755546569824
2023-07-18,1.1237596273422241
2023-07-19,1.1228890419006348
2023-07-20,1.120523452758789
2023-07-21,1.113709807395935
2023-07-24,1.112532615661621
2023-07-25,1.1063170433044434
2023-07-26,1.1050456762313843
2023-07-27,1.1078368425369263
2023-07-28,1.0978755950927734
2023-07-31,1.1024264097213745
2023-08-01,1.0997591018676758
2023-08-02,1.1007881164550781
2023-08-03,1.0944151878356934
2023-08-04,1.095158338546753
2023-08-07,1.1002674102783203
2023-08-08,1.100315809249878
2023-08-09,1.0958904027938843
2023-08-10,1.0977671146392822
2023-08-11,1.0981649160385132
2023-08-14,1.094439148902893
2023-08-15,1.0909883975982666
2023-08-16,1.0904173851013184
2023-08-17,1.0874884128570557
2023-08-18,1.0874648094177246
2023-08-21,1.087559461593628
2023-08-22,1.0898351669311523
2023-08-23,1.0846692323684692
2023-08-24,1.086578607559204
2023-08-25,1.07991361618042
2023-08-28,1.0797386169433594
2023-08-29,1.0825556516647339
2023-08-30,1.0869210958480835
2023-08-31,1.0932546854019165
2023-09-01,1.0844104290008545
2023-09-04,1.07758629322052
2023-09-05,1.0794472694396973
2023-09-06,1.0726161003112793
2023-09-07,1.0724204778671265
2023-09-08,1.0697818994522095
2023-09-11,1.071811318397522
2023-09-12,1.0750375986099243
2023-09-13,1.075326681137085
2023-09-14,1.0734220743179321
2023-09-15,1.0637166500091553
2023-09-18,1.0668259859085083
2023-09-19,1.0692671537399292
2023-09-20,1.0682048797607422
2023-09-21,1.065303087234497
2023-09-22,1.0661548376083374
2023-09-25,1.0648492574691772
2023-09-26,1.0591648817062378
2023-09-27,1.0569483041763306
2023-09-28,1.0505305528640747
2023-09-29,1.0562450885772705
2023-10-02,1.0565240383148193
2023-10-03,1.0480751991271973
2023-10-04,1.0472300052642822
2023-10-05,1.0507071018218994
2023-10-06,1.0546631813049316
2023-10-09,1.056747317314148
2023-10-10,1.0578875541687012
2023-10-11,1.0604791641235352
2023-10-12,1.0624282360076904
