Date,USDTRY,USDJPY,EURUSD,TRYJPY,EURTRY
Date,,,,,
2023-03-08,18.918100357055664,137.39100646972656,1.05507493019104,7.262410277810237,19.960013413567594
2023-03-09,18.94079971313477,137.2259979248047,1.0549525022506714,7.2449949317421565,19.981644052000323
2023-03-10,18.95190048217773,136.39500427246094,1.0584698915481567,7.196903782854184,20.060016048002122
2023-03-13,18.961389541625977,134.97999572753906,1.0683646202087402,7.118676372911237,20.257677736269216
2023-03-14,18.97100067138672,133.11399841308594,1.0725010633468628,7.016709382855962,20.346418392816304
2023-03-15,18.974899291992188,134.39700317382812,1.0727657079696655,7.08288360879715,20.355621272627104
2023-03-16,18.98699951171875,132.9290008544922,1.0583354234695437,7.001053577341096,20.09461416865088
2023-03-17,19.00200080871582,133.3679962158203,1.0614134073257446,7.018629120079145,20.168978424385614
2023-03-20,19.00787925720215,132.28399658203125,1.0678855180740356,6.9594295498225245,20.298238988066032
2023-03-21,19.00881004333496,131.39199829101562,1.071914792060852,6.912163254379275,20.37582466492563
2023-03-22,19.03319931030273,132.34800720214844,1.0774236917495728,6.953534455476859,20.50681986671179
2023-03-23,19.04389953613281,131.1790008544922,1.0870392322540283,6.88824264198625,20.701465930880655
2023-03-24,19.05719947814941,130.86500549316406,1.0835057497024536,6.866958896201468,20.648585207801485
2023-03-27,19.0802001953125,130.8459930419922,1.077818512916565,6.85768449505774,20.56499300066207
2023-03-28,19.09258079528809,131.23300170898438,1.0807071924209597,6.873507731410084,20.633489387346124
2023-03-29,19.12070083618164,131.04600524902344,1.0839520692825315,6.853619350659378,20.72592323751132
2023-03-30,19.14689064025879,132.5760040283203,1.0843634605407717,6.924153196423564,20.762188593266732
2023-03-31,19.17569923400879,133.2010040283203,1.0904649496078491,6.94634403694044,20.910427898908665
2023-04-03,19.193479537963867,133.3470001220703,1.080333590507507,6.947515684079885,20.735360663580874
2023-04-04,19.20479965209961,132.2989959716797,1.091226577758789,6.888850619028238,20.95678780090384
2023-04-05,19.21699905395508,131.48500061035156,1.0960105657577517,6.842119325769048,21.062034005291487
2023-04-06,19.250099182128903,130.9340057373047,1.090334177017212,6.801731487121848,20.98904104924622
2023-04-07,19.25069999694824,131.66900634765625,1.0920130014419556,6.83969966642924,21.02201468352609
2023-04-10,19.245399475097656,132.0970001220703,1.0913575887680054,6.863822197767086,21.003612766019614
2023-04-11,19.265300750732425,133.468994140625,1.086932897567749,6.9279476021442745,20.940089167507725
2023-04-12,19.291040420532227,133.593994140625,1.0917507410049438,6.9251834648812185,21.061007673872382
2023-04-13,19.30875968933105,133.0850067138672,1.0999890565872192,6.892467918972681,21.23942435453659
2023-04-14,19.335100173950195,132.48699951171875,1.1054610013961792,6.8521496304537335,21.37419920039042
2023-04-17,19.37829971313477,133.9709930419922,1.098659634590149,6.913454483892906,21.290155681811033
2023-04-18,19.385299682617188,134.4250030517578,1.0925379991531372,6.934378382207669,21.179176528230528
2023-04-19,19.399599075317383,134.04400634765625,1.0975382328033447,6.909627659171779,21.29180168621724
2023-04-20,19.3981990814209,134.70399475097656,1.095218300819397,6.9441495154048924,21.245262636910184
2023-04-21,19.404260635375977,133.99600219726562,1.0970927476882937,6.905493835357841,21.288273617324425
2023-04-24,19.405170440673828,133.96099853515625,1.0992271900177002,6.903366241729571,21.33069097531643
2023-04-25,19.402700424194336,134.08399963378906,1.1059499979019165,6.910584439400614,21.45841649342924
2023-04-26,19.41783905029297,133.71099853515625,1.0978394746780396,6.8859875802265895,21.317670222356355
2023-04-27,19.423099517822266,133.46499633789062,1.1047282218933103,6.871457164466757,21.457246193980605
2023-04-28,19.43549919128418,133.802001953125,1.1032048463821411,6.88441293101071,21.44133689968089
2023-05-01,19.449499130249023,136.38600158691406,1.1010911464691162,7.012314336403573,21.415671295575976
2023-05-02,19.452049255371094,137.52099609375,1.0969241857528689,7.069743361655212,21.337423290672636
2023-05-03,19.473539352416992,136.46600341796875,1.1010911464691162,7.007765817415776,21.442141771364277
2023-05-04,19.474889755249023,134.54400634765625,1.1068925857543943,6.908588856652855,21.556611078469356
2023-05-05,19.487199783325195,134.1790008544922,1.102292776107788,6.885494188308495,21.480599547728616
2023-05-08,19.499000549316406,135.19900512695312,1.10186767578125,6.933637690045242,21.485318415332586
2023-05-09,19.50189971923828,135.072998046875,1.0996140241622925,6.9261456571652795,21.44456242908109
2023-05-10,19.520000457763672,135.28799438476562,1.096467137336731,6.930737254719564,21.40303902273581
2023-05-11,19.53969955444336,134.08700561523438,1.098406195640564,6.862285944654802,21.462527051555753
2023-05-12,19.56579971313477,134.4980010986328,1.0912145376205444,6.8741376826188505,21.350485087144538
2023-05-15,19.62800025939941,135.82200622558594,1.0852696895599363,6.919808662654964,21.30167374820075
2023-05-16,19.67970085144043,136.0449981689453,1.0873701572418213,6.91296067942962,21.399119409302784
2023-05-17,19.731300354003903,136.42999267578125,1.0865668058395386,6.914394400169206,21.439376000710578
2023-05-18,19.76440048217773,137.61399841308594,1.0838346481323242,6.962720601476246,21.42134204214744
2023-05-19,19.806859970092773,138.6199951171875,1.0775396823883057,6.998585102661187,21.342677601283413
2023-05-22,19.815900802612305,137.69200134277344,1.0822745561599731,6.948561295009192,21.446245246057288
2023-05-23,19.84454917907715,138.6719970703125,1.0811045169830322,6.987913699572454,21.45403175499223
2023-05-24,19.86392974853516,138.59800720214844,1.076971173286438,6.977370991375419,21.39287972735929
2023-05-25,19.907100677490234,139.2830047607422,1.0757315158843994,6.996649437666989,21.414695588659924
